node	edge_count
RBR1	49
CDKA-1	46
CYCA2-3	30
WEE1	29
APC8	25
APC10	25
APC4	25
DPA	24
APC7	23
CDKB1-1	23
DPB	22
CKS1	22
APC6	22
APC5	22
FZR2	21
SMR5	20
FZR1	20
CYCD3-1	20
APC1	20
CDKB2-1	20
CDKB1-2	19
MYB3R3	19
CDC27B	19
APC11	19
MAD2	18
APC2	18
E2FA	18
SOG1	18
CYCB1-2	16
ATR	16
EPF2	16
CKS2	16
FBL17	15
MSJ1.11	15
SMR7	15
CYCB1-1	15
MOS4	15
BASL	15
CDC20-1	15
CYCD2-1	14
FZR3	14
SPCH	14
EPF1	14
RS2Z33	14
EPFL9	14
CDC25	14
KRP2	14
YDA	13
CDC27A	13
SIM	12
CYCL1-1	12
E2FB	12
PYM	12
SBT1.2	12
MSI1	12
BUB3.1	12
E2FC	12
CYCA2-1	12
ALY3	11
E2FE	11
KRP1-2	11
ALY1	11
CDKB2-2	11
PL1	10
MED18	10
MED23	10
MED19A	10
MED27	10
SCL30A	10
MED32	10
SCL33-2	10
MED16	10
RSZ21	10
MED25	10
SCL28	10
MED8	10
SCL30	10
RSZ22	10
Q9LS97_ARATH	10
SC35	10
ATE1	10
KRP1	10
CDKG1	10
UBP24	10
UBP14	10
UBC19	10
Q3E931_ARATH	10
SCRM2	10
SCRM	10
MPK6	10
MPK3	10
SMR1	10
T32B20.g	10
MED14	10
CYP18-2	10
PRP8A	10
BRR2A	10
CDC5	10
SKIP	10
K16L22.5	10
MED15A	10
MED28	10
CDC20-2	10
CDC20-6	10
KRP4	10
CDC20-3	10
CDC20-4	10
CDC20-5	10
CYP51G1	10
GTL1	10
ERG28	10
ALY2	10
CAS1	10
CYCA1-1	10
CDC6	10
UBP12	9
T2P4.2	9
RPS27AC	9
RPS27AA	9
RPS27AB	9
RPL40B	9
RPL40A	9
UBP26	8
UBP13	8
SR34	8
SR30	8
CYCD4-1	8
DUO1	8
KRP3	8
RAD51	8
SR34B	8
MUTE	8
TMM	8
ERL1	8
KRP7	7
SMR4	7
KRP5	7
SMR3	7
SMR2	7
DUO3	7
KRP6	7
RHF2A	7
CYCB1-3	7
RHF1A	7
F16M2.180	7
PER53	6
RDR2	6
NRPD2	6
SMR8	6
CHR25	6
CYCD4-2	6
SMR11	6
PRP19B	5
U2AF65A	5
CYCA2-2	5
CYCA2-4	5
SF1	5
BRCA1	5
MYB3R5	5
SAC3B	5
XRI1	5
PRP19A	5
NRPD1	5
SNC1	5
BRXL2	5
SAC3C	5
MOS14	5
NAC044	4
NAC085	4
RH13	4
K15I22.11	4
UMAMIT24	4
ENY2	4
EER5	4
RMR6	4
RMR1	4
CPI1	4
MYB3R4	4
SMT1	4
CML5	4
Dl3855w	4
FKBP43	4
RMR2	3
KINUA	3
SQE4	3
RAD4	3
SQE1	3
SQE3	3
SQE2	3
SQE5	3
XXT3	3
SQE6	3
ASIL2	3
SHA1	2
CALS5	2
PP2AA2	2
NPU	2
ASR3	2
CYCU2-2	2
A0A1P8B5C8	2
Q8GUH8_ARATH	2
F9C22.2	2
ATG6	2
CYCU3-1	1
ICR4	1
T8M16_210	1
NDL3	1
C7A10.860	1
CPR5	1
SINAT6	1
RPP8	1
Q94JR1_ARATH	1
F15D2.5	1
ASG8	1
CYP83B1	1
F4J381_ARATH	1
FLXL4	1
GATA27	1
F4J8A2_ARATH	1
TAC1-2	1
TMN1	1
TMN4	1
SPH7	1
EXA1	1
PANS1	1
PYM-2	1
KIN4B	1
